2,0601101E,Defense Research Sciences,01,315033,Basic Research
4,0601117E,Basic Operational Medical Research Science,01,49500,Basic Research
9,0602115E,Biomedical Technology,02,114790,Applied Research
14,0602303E,Information & Communications Technology,02,413260,Applied Research
15,0602304E,Cognitive Computing Systems,02,16330,Applied Research
17,0602383E,Biological Warfare Defense,02,24537,Applied Research
22,0602702E,Tactical Technology,02,225977,Applied Research
23,0602715E,Materials and Biological Technology,02,166654,Applied Research
24,0602716E,Electronics Technology,02,243469,Applied Research
37,0603286E,Advanced Aerospace Systems,03,149804,Advanced Technology Development
38,0603287E,Space Programs and Technology,03,172546,Advanced Technology Development
55,0603739E,Advanced Electronics Technologies,03,117080,Advanced Technology Development
57,0603760E,Command Control and Communications Systems,03,239078,Advanced Technology Development
59,0603766E,Network-Centric Warfare Technology,03,259006,Advanced Technology Development
60,0603767E,Sensor Technology,03,286364,Advanced Technology Development
164,0605898E,Management HQ - R&D,06,71659,Management Support
